text,summary
"I WISH I COULD GIVE THIS PRODUCT A NEGATIVE NUMBER FOR MY REVIEW.....THIS IS THE WORST THING I HAVE EVER PURCHASED HERE ON AMAZON IN THE LAST 14 YRS OF USING THIS WONDERFUL SITE.  PLEASE DON'T BUY THIS PRODUCT, IT LITERALLY TASTE LIKE ""DIRT"".  I CAN'T BELIEVE ANYONE WHO HAS TRIED THIS PRODUCT HAS LIKED IT....  NOTICED I HAVEN'T CALLED THIS PRODUCT BY IT'S NAME ""CINNAMON"" REASON? BECAUSE IT'S NOT....IT'S DIRT.  SAVE YOUR MONEY AND GO PICK UP MCCORMICKS CINNAMON(WHAT I HAD TO DO).  IF THE PEOPLE THAT MAKE THIS DIRT READ THIS REVIEW PLEASE CONTACT ME AND LET ME KNOW HOW I CAN GET A REFUND AND RETURN THIS DIRT TO YOU.  YOU GUYS SHOULD BE ASHAMED OF YOURSELVES FOR SELLING THIS ""DIRT"" AND PASSING IT OFF AS CINNAMON.",TASTE LIKE DIRT
"Simply THE best tea and now at an incredible value thanks to amazon... i hope this lasts, i have purchased yorkshire here the last year or so and will continue as long as they offer it.",simply the best tea
"Definitely a few things I agree that other reviewers noted:1) Small loaf - only really makes a 1 lb-er even if it gives instructions on a 1.5 loaf2) Rise problems - my boxes don't expire until 2012 but I still had rise problems. A friend from the culinary school nearby said it might be because there is a lot more whole wheat in it (a good thing for the body, not as good in the bread maker). As noted in another review, baking it in the oven really did make a better and higher loaf.3) Butter is best - tried oil and butter and butter is definitely better.4) A little more salt - I added an additional 1/2 tsp of salt and that seemed to help with the rise as well.It's a great backup for when you're out of bread flour or yeast but I still think the best bread machine recipe from allrecipes.com (subbing in 2 cups of flour, 1 cup whole wheat) makes for the most delicious and closest to store bought I've seen thus far.",Reviewers are right
"Click protein drink has changed our world!  My husband and I drink protein on almost a daily basis.  Protein can be difficult to drink when you don't like it.  We were in a total protein slump until the day we tried CLICK.  The taste, and consistency is fantastic.  It does not leave a horrible after taste like some of the others do.  I am only wishing they offered a Decaf version... then my heart would be complete!  Amazon has the most amazing price anywhere for this product too!",The best by far!
please dont buy dog food with corn as the main ingredient...they cant digest it....and it will pass it through....spend a little more and you will be glad you did......as in less dog waste....better fur  and a happy full dog...with a little internet research a 20# bag will cost about $5 more.....is it worth it to you????,better choices for your loved one
"I just picked this up at my local grocery store because it was the only organic brown rice they had and I was pleasantly surprised! It cooks really well, not sticky at all (I use a bit of coconut oil and cook it in organic vegetable broth.) Tastes great! I am not typically a brown rice lover but this kind was really good. My kids and husband ate it and asked for seconds as well. Was delighted to see it on Amazon and for such a great price with subscribe and save so I just stocked up!",Best brown organic brown rice I have had!
"I am giving this product a two star product review mainly because there are absolutely no instructions on how to use it on the container.I am a caucasian 56 year old female with hair that tends to be dry on the ends and have a sporadically itchy scalp.  I thought this product would help when I saw it advertised on the Vine program.  And it does - if you use it correctly.I was one of the users that thought this was a conditioning product (put on, wash off).  I used way too much and ended up with beyond greasy hair.  It took four washings with Dawn dish detergent and four regular shampooings to get this stuff off my hair.BUT...After all that, I used just a LITTLE bit in the palm of my hand (like less than pea size) on my damp hair.  It gave my hair a very nice sheen and controlled the flyaways.  And it does have a wonderful fragrance.I cannot imagine a manufacturer NOT putting instructions on their product, though.  Yes, this might be for African American hair as other reviewers have pointed out but nowhere in the advertising or on the balm itself does it say that.  So two stars (and I almost gave it one) but I did try a second time, after reading other reviews.",Instructions? Would it have hurt to put some on this product?
The candy I received was dried out with all sides sunk in with no liqueur at all despite that the chocolate was not melted. There was no expiration anywhere on the package to gauge how old the candy was.,Inedible old candy
Don't bother with these....dogs go through them so fast! I have a small boxer that chewed an entire antler in 1.5 hours and the darn thing cost $20!,Gigantic Waste of Money
"I hit 21 and for some reason started developing food allergies left and right.  Several years later and there are so many foods, including (but not limtited to)all tree nuts, sunflower and safflower seeds/oil, oats, red berries and sulfates, that set me off terribly and with increasing sensitivity.Chocolate seemed to be one of the new aggressors and I've been trying to tough it out with carob, but it just doesn't cut it for me.I had an epiphany when I saw these in the store and wondered it could possibly be all the junk chocolate can get processed with or shared equiptment that was setting me off.Success!! I tried a little, waited, nothing happened. Repeated the next day  with a couple of table spoons and again, no excema, throat swelling or digestive problems, which never hesitate to make them selves known if I have a problem with a food.NOT that I recomend trial and error to people who think they are allergic to anything, though that IS what my doctors came up with for my specific case, and I'm really exicited that I didn't react.Going to probably buy these in bulk and try not to go crazy after 3 months of trying to like carob!Seriously though, in the non-allergic epoch of my life, I was a chocolate snob.  If I wanted chocolate I would splurge on a three dollar bar of the good stuff and avoided Hersey's like the plague. I'm not sure how much of my present taste is colored by desperation and deprevation but I think this stuff is REALLY good.",I can eat chocolate again!!
"The only positive thing I have to say about this formula is that it has Organic Milk in it, and that's pretty sad because that part is a given.  Here are the negatives:- Dissolves horribly.  I have to prepare bottles ahead of time, refrigerate them, then warm them to use it.  My baby would take a bottle at room temperature, but if I did that there would be clumps of formula left behind.- Has corn syrup in it (listed as Organic Glucose Syrup Solids).  Ok, so it isn't GMO corn syrup, but who cares?  There is no reason to include this except to save money.  It is a cheaper carbohydrate source than lactose, so they can use less lactose (lactose being something that actually has nutrional value).-Has Palm Olein Oil in it.  Again, it is organic, but so what?  Another cheap ingredient (this time a fat source).  Palm Olein oil has been shown to block absorption of calcium in the body.  Oh good, because the first year of life isn't a crucial time for bone development or anything.  Even Similac won't use it.  Here is a link to study by the American Acadamy of Pediatrics from 2002(!) showing infants fed formula with palm olein oil had lower bone density than those without, and yet Hain doesn't care enough to stop using it: http://pediatrics.aappublications.org/content/111/5/1017-Has Martec DHA/AHA in it.  This is a genetically modified product and the fact that it has been allowed in organic food is just an example of how powerful lobbyists are.  If they have to use chemical neurotoxins to get the DHA/AHA, I'd rather just do without, thanks.  I know of no studies that show the level of DHA/AHA in baby formulas do anything positive for a baby's brain development.  There have also been reports of babies experiencing stomach upset from DHA/AHA in formulas.  It is hard to get this feedback though since almost every formula has Martec's DHA/AHA in them now.-It smells like death and when my baby burps in my face I gag a little.I never planned on even trying this formula, but Baby's Only constipated my baby like no tomorrow.  Even with the arsenic ridiculousness, I'd still use Baby's Only if the Brown Rice Syrup didn't make him scream every time he had a bowel movement.  And Similac Organic has no lactose and is filled with table sugar.  Organic formula options in this country are horrible.  (I am unable to exclusively breastfeed due to medication)",Positive Reviewers Are Too Easily Impressed
These are the only treats that I can buy for my dogs.  One has Crohn's Disease and because of that I can only give these to her.  The service was Excellent and I received them quickly!  This isn't the first time I bought these from the shipper and it won't be the last!!,Best Dog Treats Ever!!!!
"I have a 1 year old lab/Shepard mix and she is a very active chewer.  I ordered the CET chews to keep her teeth clean.  She absolutely loves the flavor, but because the rawhide is so thin, she tears them in half and tries to swallow them in large pieces.  The first time she did it, I thought maybe it was a one time deal.  I saw her choking and stuck my hand down her throat to remove a piece of rawhide blocking her throat.  Just today, she choked again, and I wasn't able to pull it out but in my efforts I must have shoved it down and she could breath again.  It is a very scary moment to see your dog choking and gasping for air.  My dog was looking to me for help and once her throat cleared she laid in my lap for 30 minutes...I am guessing it traumatized her.  I threw the rest of the bag in the trash.  My dog also has loose stool whenever she ate these, but she does have a sensitive stomach to certain foods so I am sure results will vary.  I will stick with brushing her teeth and getting her teeth annually by the vet.My dog - 70 pounds, 1 year old lab/Shepard mix.  She eats the beef Orijen food blended with California natural.Edit -My dog Taro is now three and a half and I see these chews at the Vet clinic I go to.  I also see that this product has really great reviews so I am sure that it works for most people's dogs and people love the product...I just urge you to be very cautious if you purchase this chew and stay with your dog when they are chewing on it.  I just wanted to edit this review because the risk is so high with these chews that I felt compelled to warn potential buyers of the product.I think the manufacturer should at a minimum put a strong warning on the front of the bag to warn owners that this can pose a major choking hazard to some dogs.  This would be the responsible thing to do.  Pet products are not regulated like products for human use.  Most people like me view their pets as children and essential to their lives.  If this were made for children, the danger of this product would make news and force the manufacturer to address the choking hazard.It also seems fishy that almost all of the 5 star reviews are from people with 1-4 reviews on other products.  Plus the number of ""is this useful votes"" is usually less than 5 votes.  It seems as these reviewers are fake...just seems fishy to me.  I hope this isn't the case because they would be toying with the danger of killing our dogs.",Be careful.  May be good for teeth but present a choking hazard.
"Arizona is the only brand I've found that makes lemonade sticks with Splenda instead of aspartame.  The flavor is great, and I can grab these on the go.  I keep the 16 oz Dasani bottled water in my fridge, so I can grab a cold bottle, pour in a lemonade ""stix"", shake and go.  Another reviewer complained about a chemical taste, I'm guessing the problem is the water they are mixing the lemonade with.  I'm very picky and haven't found a bad taste with this mix at all.","LOVE these!  I don't like tea, and I avoid aspartame when possible.  Arizona got this right!"
I think this is a great product the flavor last and Orbit needs to rethink taking it off the market,strawberry mint gum
"Five stars isn't enough. There is nothing like Vernor's. Period. Canada Dry? Puh-leez...watered-down garbage. Vernor's is to Ginger Ale what Courvoisier is to Cognac. There IS no comparison. If you grew up in Michigan, you asked for Ginger Ale and you got Vernor's. Anything else is heresy.I can understand the review below, though. The poor fool's from Ohio. He obviously doesn't know any better.",Vernor's IS Ginger Ale
This juice has a terrible artificial sweetener taste and such an ingredient should have been listed in the description. It tastes like a DIET soda instead of fruit juice.,Terrible artificial sweetener taste
"Wow.  I was really excited to try these; unfortunately, after struggling through about six bites, I had to throw it away.  Immediately out of the microwave, the bowl reeked of melted plastic.  At first, I thought I had melted the bowl, but after inspecting it and attempting several bites, I discovered it was the scent of the noodles and broth.  The noodles were super fine, which I like; however, I couldn't get past the super slimey feel.  They almost seemed like they had a glue-like consistency.  I only cooked for two of the recommended 2-3 minutes.  I don't know if you get different results with the boil and pour method, but I disliked them so much I'm not willing to give that a try.",AWFUL! Slimey and smells like melted plastic...
"I love black licorice, but I have to say, I'll be giving these away. The flavor is fine, but the licorice is very dry. Most of the licorice I enjoy (e.g., Kookaburra) has some natural oils in it.",Too Dry for Me
"Superb coffee.  We like dark, rich, flavorful coffee - but hate acidic taste that seems to come along with most full-bodied coffees.  This one is great.  Ordering more (and more, and more)","Rich, flavorful - no acidic after taste"
"whether or not you use the ""gourmet sauce"" pack (which has ""natural flavors"" which always makes me assume MSG) these meals are just darn good, filling, taste and ""feel"" nutritious--e.g. i'm not hungry when i'm done.  i eat them slowly and chew well to get the full benefit of the fiber.  i think they taste really good, really fresh, and i keep a couple of cases on hand as part of my ""emergency"" food stash and for taking to work for a quick and easy lunch.  I am so pleased to find them on Amazon!  I'd only seen them at one other store before (granted... i don't shop stores much now that I'm on Amazon, but i do go out for groceries and farm stands).",LOVE these on the go meals
"Used it for skunks.  Absolutely no effect even at double the dose.  I don't know who dreams up this organic crap but I have learned over the years that most ""green"" products are a waste of time and usually cost more than good old tried and true methods!",Waste of Time and Money!
"Re-write of earlier review after more than a year: I previously compared this blend to Starbucks Verona with (to quote Starbucks) a ""bold intensity, with a rich, smooth and slightly sweet"" flavor. I had more or less absent-mindedly migrated to the Senseo Colombian blend over the last year or so, and just recently again tried the Senseo Dark because it came with a new brewer. I stand by my earlier comparison - the Senseo Dark is similar to Starbucks Verona. And I still find the main weakness with this blend to be that it's just slightly too weak...which you can counteract by killing the brew process early and getting slightly less than a double cup from the two pods.You _can_ make better coffee than this in the Senseo brewer but not by much. The Colombian Blend is smoother, for example, but not as rich and not as sweet.",About as good as it gets for the Senseo brewer
"This Snack time special was a gift from a relative, and so I feel pretty bad about giving it a one-star review. And yet, I feel compelled to warn others away from spending this amount of money, PLUS shipping, for snacks that are definitely lacking in TASTE, and are TINY. When I say ""tiny"", I mean this: the sausages are the size of a woman's index finger--IF she has a small index finger. The cheese bricks are 2 oz--a small man's index finger. The jar of jelly (grape)--1.5 oz is about a heaping tablespoon--enough to cover (maybe) both sides of a bagel (lightly), and you're done.Small size isn't all that important, I suppose, because these are supposed to be snacks. But here's the important part: TASTE. And folks, let me tell you, this assortment was sorely lacking in that department.Everything was either too sweet (do you care for sweet ""mellow cheddar""?) or too bland (""brick cheese"" had NO flavor) or too greasy (""summer sausage"" left a distinct fatty taste in the mouth. Not to mention that one sausage (the index finger size) has 550 mg of sodium.A word about packaging: This arrived in a small box, which, when opened, revealed a MESSY JUMBLE of products. It did NOT in any way resemble the box you see pictured, when it arrived.I tried to post a review of this product on the Swiss Colony site, but wasn't sure they would publish it, so I thought I'd take the time to post here, so others can be aware that they might do much better in choosing a gift for themselves, or friends, than this selection.I hope my relatives don't read this review, because I KNOW they meant well, and I hope this review will help you to choose better for your family and friends. :>)",Has Everything EXCEPT Flavor and Value
The tea came in a wonderful box - the company upgraded to a larger sized box for free. It made a great Christmas present. Thanks again!,Great tea - upgraded for free - thanks - it made a great Christmas gift!
"I am one of those people who leave licorice packages open so that it will 'stale' faster. This consistency of this product is exactly what I love.  It's chewy and there is actually an audible sound when you tug the licorice lace to break off a piece.  It has a similar stiffness as a Jujubees candy once it's outer coating is softened.  I've been on the hunt for a specific licorice lace that was sold at a near by Sweet Factory that closed.  This comes really close, but the flavor is off. I think the one I'm looking for is cherry flavored while this is strawberry. The candy came well packaged and fresh with a clearly printed expiration date.",Licorice that isn't too soft and sticky.
"My cat doesn't like any of the typical grocery store type cat treats.  However, I discovered that he just loves these fiber treats. He actually cries for them every morning...now I have to make sure I don't run out of these.  He's 15 years old and I figure the fiber can't hurt either.",my cat loves these
